Project ID,Project Name,Number,Street,Borough,Council District,Latitude (Internal),Longitude (Internal),Extended Affordability Only,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,All Counted Units,Total Units
54360,SPRING CREEK PHASE 4B-1,487,VANDALIA AVENUE,Brooklyn,42,40.65545447,-73.87466933,No,Non Prevailing Wage,2,3,8,8
54360,SPRING CREEK PHASE 4B-1,489,VANDALIA AVENUE,Brooklyn,42,40.65549827,-73.87456473,No,Non Prevailing Wage,2,3,8,8
54360,SPRING CREEK PHASE 4B-1,491,VANDALIA AVENUE,Brooklyn,42,40.65554207,-73.87446013,No,Non Prevailing Wage,0,0,8,8
66438,CONFIDENTIAL,----,----,Staten Island,51,,,No,Non Prevailing Wage,0,0,1,1
54360,SPRING CREEK PHASE 4B-1,493,VANDALIA AVENUE,Brooklyn,42,40.65558588,-73.87435914,No,Non Prevailing Wage,2,2,8,8
54360,SPRING CREEK PHASE 4B-1,495,VANDALIA AVENUE,Brooklyn,42,40.65562968,-73.87425453,No,Non Prevailing Wage,3,2,8,8
54360,SPRING CREEK PHASE 4B-1,497,VANDALIA AVENUE,Brooklyn,42,40.6556817,-73.8741319,No,Non Prevailing Wage,3,2,8,8
54360,SPRING CREEK PHASE 4B-1,494,VANDALIA AVENUE,Brooklyn,42,40.65486153,-73.87461278,No,Non Prevailing Wage,0,0,8,8
54360,SPRING CREEK PHASE 4B-1,496,VANDALIA AVENUE,Brooklyn,42,40.65490534,-73.87450818,No,Non Prevailing Wage,1,3,8,8
54360,SPRING CREEK PHASE 4B-1,498,VANDALIA AVENUE,Brooklyn,42,40.65494914,-73.87440719,No,Non Prevailing Wage,2,4,8,8
54360,SPRING CREEK PHASE 4B-1,500,VANDALIA AVENUE,Brooklyn,42,40.65499295,-73.87430259,No,Non Prevailing Wage,0,0,8,8
54360,SPRING CREEK PHASE 4B-1,502,VANDALIA AVENUE,Brooklyn,42,40.65503675,-73.87419799,No,Non Prevailing Wage,2,2,8,8
54360,SPRING CREEK PHASE 4B-1,504,VANDALIA AVENUE,Brooklyn,42,40.65508055,-73.87409339,No,Non Prevailing Wage,2,2,8,8
54360,SPRING CREEK PHASE 4B-1,506,VANDALIA AVENUE,Brooklyn,42,40.6551271,-73.87399239,No,Non Prevailing Wage,0,0,8,8
